,Title,Location,Qualifications,Skills,Responsibilities,Education,Requirement
60,Internship Opportunities for Students: Data & Applied Sciences,"Redmond, WA","
Currently has or is in the process of obtaining their BA/BS or Masters in Computer Science, Mathematics, Economics, Statistics, Applied Sciences like Biostatistics, Physics, Chemistry, Computational Neurology and or other quant-focused field
Some Engineering experience and or project course work using large data systems on SQL, Hadoop, etc.
Proficiency using one or more programming or scripting language to work with data such as: Python, Perl, or C#.
Some experience and or project course work performing data analysis and applying statistics working with tools such as: Excel, R, MATLAB, AMPL, or SAS.
Some experience and or project course work with product and service telemetry systems.
Some A/B Testing or experimentation (this can be from conducting real life science experiments, hypothesis testing in stats etc.) Not required but ideal.
Some experience or course work applying basic ML to a type of data and or used algorithms to conduct experiments on data. Machine Learning strongly encouraged.
Passion to learn from your peers, manager, and other stakeholders in the Data Science domain.
Ability to interact with peers and stakeholders to drive product and business impact.
Strong interpersonal and communications skills.",None Found,"
Currently has or is in the process of obtaining their BA/BS or Masters in Computer Science, Mathematics, Economics, Statistics, Applied Sciences like Biostatistics, Physics, Chemistry, Computational Neurology and or other quant-focused field
Some Engineering experience and or project course work using large data systems on SQL, Hadoop, etc.
Proficiency using one or more programming or scripting language to work with data such as: Python, Perl, or C#.
Some experience and or project course work performing data analysis and applying statistics working with tools such as: Excel, R, MATLAB, AMPL, or SAS.
Some experience and or project course work with product and service telemetry systems.
Some A/B Testing or experimentation (this can be from conducting real life science experiments, hypothesis testing in stats etc.) Not required but ideal.
Some experience or course work applying basic ML to a type of data and or used algorithms to conduct experiments on data. Machine Learning strongly encouraged.
Passion to learn from your peers, manager, and other stakeholders in the Data Science domain.
Ability to interact with peers and stakeholders to drive product and business impact.
Strong interpersonal and communications skills.",None Found,None Found
61,Data Science & Analytics Intern (Paid) - Summer 2020,"Bellevue, WA",None Found,None Found,None Found,None Found,None Found
62,"Data Scientist, Bloomberg Law","Princeton, NJ",None Found,None Found,None Found,None Found,None Found
63,Data Scientist,"Seattle, WA",None Found,None Found,None Found,None Found,None Found
64,Data Scientist - 2 Positions,"Davis, CA",None Found,None Found,None Found,None Found,None Found
65,Data Scientist - Entry Level,"Washington, DC","Must be eligible to obtain a Public Trust government security clearance.
Bachelor’s Degree.
Coursework in statistics, analytics, decision science, or similar field.
Clear and concise verbal and written communication skills.
Ability to research and confidently assemble an argument and then back it up with evidence.
Proficient with:
Excel.
R and/or Python.
SQL and the use of databases.
","Must be eligible to obtain a Public Trust government security clearance.
Bachelor’s Degree.
Coursework in statistics, analytics, decision science, or similar field.
Clear and concise verbal and written communication skills.
Ability to research and confidently assemble an argument and then back it up with evidence.
Proficient with:
Excel.
R and/or Python.
SQL and the use of databases.
",None Found,None Found,None Found
66,Data Scientist,"Los Angeles, CA",None Found,None Found,None Found,None Found,None Found
67,Associate Data Scientist,"New York, NY 10001","B.S. or M.S. (preferred) in relevant technical field such as Applied Mathematics, Computer Science, Engineering, Physics, or Economics.","Ability to communicate complex quantitative analyses in a clear, precise, and actionable manner.",None Found,"B.S. or M.S. (preferred) in relevant technical field such as Applied Mathematics, Computer Science, Engineering, Physics, or Economics.",None Found
68,Data Scientist,United States,None Found,None Found,None Found,None Found,None Found
69,"VP, Data Scientist","Wilmington, DE 19801","5+ years of industry experience in data science or business analytics roles (e.g., marketing analytics, sales analytics, business insights)
Bachelor’s degree in relevant quantitative field required, advanced degree preferred in analytical field (e.g. Statistics, Economics, Applied Math, Operations Research, Physics, Data Science fields)
Experience of leading teams with a proven track record of being driving value for the business; Direct people leadership experience desired
Thought leader in data science and/or analytics who can help our internal clients define their business problem, create solutions to address it, plan and execute the implementation
Excellent communicator able to convey complex information in an understandable, compelling, and persuasive manner to senior executives
Expert knowledge in quantitative methods for business and advanced data science
Experience across broad range of modern data science and analytics tools (e.g., SQL, Hive, Hadoop, Spark, Python, R)
Financial services background preferred, but not required",None Found,"
Provide thought leadership for analytics and Big Data projects on best practices, methods and tools
Develop, plan, and execute analytical projects as an individual contributor and in teams
Synthesize analytical findings for consumption by senior business executives
Become trusted advisor and thought leader on business data and analytical techniques
Establish and manage relationships with clients and internal partners
Deliver rapid and scalable solutions that unlock value across CCB and enhance capabilities of existing CCB teams through collaborative partnerships
Invent creative and innovative ways to answer key business questions by leveraging existing data assets or creating new ones
Manage teams of data scientists
Recruit the best and diverse talent for the team
Manage, develop and retain talent by creating an environment of open communication and fair performance assessment, promotion and compensation as well as provide the team with the resources, support and opportunities to excel
Set standards of excellence for the team by demonstrating professional expertise, strong work ethic, integrity and professional behavior",None Found,None Found
